sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
51,20350255,1,ok,4.190013e-09,3.45908e-09,3.41379e-09,3.136536e-09,1.4620530611,1.5576308271,6.004527246,-0.003338908848,3.3,0.0,6.0000867812,-0.002877347499,6.0998934325,-0.04792161228,6.0693478212,-0.0448530435,6.0533319509,-0.02971610209,6.0494266669,-0.02950686358,6.0494100889,-0.02901314106
52,20350256,1,ok,4.19522e-09,3.463641e-09,3.419482e-09,3.13549e-09,1.4544033771,1.5546943266,6.0045496277,-0.003344297031,3.3,0.0,6.0000913233,-0.002828187962,6.0998271118,-0.04815763853,6.0694710146,-0.04476911679,6.053120115,-0.02967643828,6.0493577334,-0.02920546567,6.0499494546,-0.0291554493
53,20350257,1,ok,4.205385e-09,3.458729e-09,3.424651e-09,3.134758e-09,1.4498789351,1.5644495903,6.0045217674,-0.00338145947,3.3,0.0,6.0000926813,-0.002735624932,6.0997045594,-0.04802793852,6.0695402023,-0.0446742566,6.0524023931,-0.02986355921,6.0495329857,-0.02932459357,6.0493071227,-0.02900849132
54,20350258,1,ok,4.180713e-09,3.451192e-09,3.406918e-09,3.130997e-09,1.4583637211,1.5588484444,6.0044888123,-0.003348407353,3.3,0.0,6.0000898674,-0.002769188921,6.1001409891,-0.04748117608,6.069867064,-0.04471665703,6.0523359664,-0.02965562777,6.0492003213,-0.02910787526,6.0498106051,-0.0289754061
55,20350259,1,ok,4.18808e-09,3.453482e-09,3.414918e-09,3.130396e-09,1.4560351266,1.5664090132,6.0045067167,-0.003359945762,3.3,0.0,6.0000879072,-0.002757607238,6.0986716614,-0.04789166482,6.0694628293,-0.04482690859,6.0529691099,-0.02987251682,6.0493221181,-0.02938898417,6.049285743,-0.02899099303
56,20350260,1,ok,4.203118e-09,3.455905e-09,3.423097e-09,3.131533e-09,1.4510911649,1.5583445128,6.0045157295,-0.003349943742,3.3,0.0,6.0000881344,-0.002896035944,6.098253629,-0.04824165698,6.0697818999,-0.04492295978,6.0528958218,-0.02971144551,6.0492949257,-0.02925972705,6.0491791652,-0.0290813171
57,20350261,1,ok,4.199058e-09,3.449928e-09,3.421675e-09,3.127903e-09,1.4529110229,1.5539534799,6.0043938502,-0.003347526523,3.3,0.0,6.0000954088,-0.002677035448,6.099048961,-0.04829393929,6.0694496714,-0.04484875793,6.0527869088,-0.02983811013,6.0492149253,-0.02927946746,6.0489161951,-0.02905149836
58,20350262,1,ok,4.203282e-09,3.453478e-09,3.42351e-09,3.129538e-09,1.4500108045,1.5665049576,6.004507193,-0.003373491414,3.3,0.0,6.000090544,-0.003023242762,6.0989578414,-0.04796975657,6.069537967,-0.04458657154,6.0529280622,-0.0297579108,6.0493332899,-0.02939401686,6.0493338744,-0.02911149325
59,20350263,1,ok,4.201219e-09,3.459298e-09,3.41732e-09,3.134139e-09,1.4521803246,1.5569000954,6.0045238346,-0.003335427283,3.3,0.0,6.0000890861,-0.002870349516,6.1015542572,-0.04850344984,6.0696276009,-0.04476504028,6.0524063599,-0.02979907648,6.0494379763,-0.0291247066,6.0488363376,-0.02895995052
60,20350264,1,ok,4.201418e-09,3.448692e-09,3.421828e-09,3.126356e-09,1.452735175,1.5560538284,6.0044789538,-0.00335533076,3.3,0.0,6.0000873409,-0.002802423473,6.0973770318,-0.04735892686,6.0695810099,-0.04485926956,6.0532848827,-0.02991620512,6.0486820355,-0.02915844471,6.0496682044,-0.02907324135
61,20350265,1,ok,4.205024e-09,3.448085e-09,3.422158e-09,3.129716e-09,1.4529580642,1.5616235895,6.0044800599,-0.003356702002,3.3,0.0,6.0000856341,-0.002750646356,6.0979577527,-0.04842613993,6.0692946434,-0.04477895674,6.0533392351,-0.02972161349,6.0494052979,-0.02927165283,6.0493131522,-0.02892337337
62,20350266,1,ok,4.188088e-09,3.449034e-09,3.412777e-09,3.130302e-09,1.4575588095,1.566934452,6.0044046192,-0.003307683341,3.3,0.0,6.0000918906,-0.002819421085,6.1000355553,-0.04848324637,6.0696292815,-0.04477073015,6.0528175263,-0.02984267013,6.0485981031,-0.02944185046,6.0494590095,-0.02930250912
63,20350267,1,ok,4.201168e-09,3.449317e-09,3.416673e-09,3.130169e-09,1.451544958,1.5608995985,6.004485806,-0.003368736176,3.3,0.0,6.0000894439,-0.002843087264,6.1015038443,-0.04793349297,6.06968702,-0.04469832093,6.0527633421,-0.02965755032,6.0495908654,-0.02923946263,6.0491480027,-0.02893882677
64,20350268,1,ok,4.193641e-09,3.453636e-09,3.418406e-09,3.131385e-09,1.4565054019,1.5644726077,6.004512857,-0.003354570321,3.3,0.0,6.000089177,-0.002850367141,6.0987815998,-0.04813745776,6.0699212007,-0.04448466955,6.0532178547,-0.0297637185,6.0488795756,-0.02941635643,6.0495415097,-0.02911061243
65,20350269,1,ok,4.188408e-09,3.4479e-09,3.412973e-09,3.127423e-09,1.4575390314,1.5513114195,6.0043854307,-0.003336622093,3.3,0.0,6.000086538,-0.002776899948,6.0977095216,-0.04787516626,6.069472602,-0.04447156763,6.0533599279,-0.02983194169,6.0496442835,-0.02950338914,6.0497408916,-0.02929469743
66,20350270,1,ok,4.203036e-09,3.459302e-09,3.422614e-09,3.137218e-09,1.4513614187,1.5547449979,6.0044494868,-0.003380974231,3.3,0.0,6.0000866155,-0.002697074965,6.1007068898,-0.04838222501,6.0698767028,-0.04493369488,6.0530854285,-0.02988497549,6.0487019625,-0.02929967724,6.0494790012,-0.02934525256
67,20350271,1,ok,4.205939e-09,3.458871e-09,3.424716e-09,3.13259e-09,1.4501437541,1.555004663,6.0044349225,-0.003360465309,3.3,0.0,6.0000876118,-0.00293050489,6.0990107741,-0.04849980314,6.0691298874,-0.04470273401,6.0525222278,-0.02976416736,6.0492088917,-0.02934819144,6.0490445909,-0.02925072281
68,20350272,1,ok,4.192792e-09,3.460896e-09,3.413523e-09,3.136131e-09,1.4547006701,1.5628512536,6.0045380198,-0.003349706268,3.3,0.0,6.0000903134,-0.002513253783,6.1009244559,-0.0482407925,6.0695644239,-0.04483772054,6.0528035209,-0.02989865629,6.0497579145,-0.02928109028,6.049150844,-0.02890092433
