sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
30,20390255,1,ok,4.041016e-09,5.063611e-09,3.02281e-09,3.846928e-09,1.5896217297,1.0906288542,0.2128422,0.01207478,1.8556215327e-08,6.0052076802,-0.002791309357,6.0,0.0,6.0276994572,-0.01641154295,6.0240717008,-0.01080367962,6.0443012565,-0.02267169043,6.0516147659,-0.02778456069,6.0526220729,-0.02825623038
31,20390256,1,ok,4.044271e-09,5.069998e-09,3.028886e-09,3.849155e-09,1.5914424624,1.0888001468,0.2133879,0.01475081,1.8555902573e-08,6.0051854431,-0.002802872501,6.0,0.0,6.0277776496,-0.01657684898,6.0240902889,-0.01083263401,6.044512997,-0.02258163843,6.0515410144,-0.02817540655,6.0526197272,-0.02835168973
32,20390257,1,ok,4.045359e-09,5.057984e-09,3.024653e-09,3.844643e-09,1.5884823756,1.0912313161,0.2132314,0.01348846,1.8556215104e-08,6.0051706415,-0.002795734248,6.0,0.0,6.0278416003,-0.01645955153,6.0241036782,-0.01084015778,6.0442641398,-0.02257554135,6.0516249207,-0.02783293108,6.0523521163,-0.02801614564
33,20390258,1,ok,4.028698e-09,5.066761e-09,3.018861e-09,3.848889e-09,1.593372374,1.0864162483,0.2115198,0.01447431,1.8556316872e-08,6.0052182168,-0.002761378316,6.0,0.0,6.0278909771,-0.01655307965,6.0239956856,-0.01078658729,6.0443003987,-0.02262687154,6.0516829375,-0.0280008705,6.0524073575,-0.02826631003
34,20390259,1,ok,4.042431e-09,5.065692e-09,3.025229e-09,3.847995e-09,1.5925511987,1.0888984168,0.2132132,0.0110461,1.8555671088e-08,6.0052018031,-0.002790768137,6.0,0.0,6.0276633414,-0.01652773677,6.0242716826,-0.01086672181,6.0443940194,-0.02269840306,6.0518148136,-0.02804036041,6.0528849924,-0.02851140854
35,20390260,1,ok,4.055652e-09,5.053391e-09,3.031722e-09,3.840832e-09,1.5888111691,1.092112084,0.2139765,0.01455653,1.8556286071e-08,6.0051490838,-0.002793114654,6.0,0.0,6.0277751701,-0.01658200949,6.0240679295,-0.01078168641,6.044290045,-0.02261645008,6.0519025711,-0.02809274429,6.0527019513,-0.02835463657
36,20390261,1,ok,4.050327e-09,5.06625e-09,3.03006e-09,3.848357e-09,1.5892420654,1.087428231,0.2138357,0.0074475,1.8555979966e-08,6.0052137277,-0.002802983266,6.0,0.0,6.027814662,-0.01658996576,6.0243489416,-0.01086138133,6.0444495534,-0.0226804519,6.0515813931,-0.02802834015,6.0523561033,-0.02826997555
37,20390262,1,ok,4.057492e-09,5.064563e-09,3.033747e-09,3.846019e-09,1.5864280039,1.0897023643,0.2119788,0.01223618,1.8556015898e-08,6.0051643322,-0.002792314572,6.0,0.0,6.027754109,-0.01648940145,6.0239910902,-0.01079912434,6.0444752872,-0.02269526118,6.0515538762,-0.02820748789,6.0531153182,-0.02828658063
38,20390263,1,ok,4.047034e-09,5.067164e-09,3.028893e-09,3.847758e-09,1.5897404073,1.0869675972,0.2142609,0.007989331,1.8556184868e-08,6.0051781103,-0.002800244161,6.0,0.0,6.0277519919,-0.01647375959,6.0242830399,-0.0108288943,6.0444820643,-0.0225897498,6.0517907415,-0.0281408404,6.0523700775,-0.02833633955
39,20390264,1,ok,4.050594e-09,5.084134e-09,3.028876e-09,3.854521e-09,1.587004752,1.0854104268,0.2107551,0.01479447,1.8555949463e-08,6.0052388422,-0.002776846242,6.0,0.0,6.0276476754,-0.01632328254,6.023791484,-0.01075785728,6.044498545,-0.02269148059,6.0511966065,-0.02804734304,6.0524863156,-0.0279901311
