sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
179,20310483,1,ok,3.654717,2.789342,2.766949,1.276849,5.107398,0.7088517,0.3063521,0.99999927273,1.7597414545e-07,3.654717
180,20310484,1,ok,3.655121,2.782121,2.764835,1.276758,5.10703,0.7066361,0.3045318,0.99999927273,1.7605763636e-07,3.655121
181,20310485,1,ok,3.655099,2.784251,2.765061,1.277422,5.109689,0.7048088,0.3064882,0.99999927273,1.7583661818e-07,3.655099
182,20310486,1,ok,3.654792,2.785496,2.764884,1.277133,5.108534,0.706683,0.3054853,0.99999927273,1.7585716364e-07,3.654792
183,20310487,1,ok,3.654896,2.787423,2.767958,1.27597,5.103879,0.7087654,0.3055265,0.99999927273,1.7585616364e-07,3.654896
184,20310488,1,ok,3.654855,2.785118,2.760032,1.276663,5.106652,0.7042631,0.3050678,0.99999927273,1.7576514545e-07,3.654855
185,20310489,1,ok,3.655134,2.778521,2.762381,1.275441,5.101762,0.7052018,0.3054811,0.99999927273,1.7601481818e-07,3.655134
186,20310490,1,ok,3.654719,2.780019,2.765422,1.276198,5.104792,0.7047172,0.3055713,0.99999927273,1.7630645455e-07,3.654719
187,20310491,1,ok,3.655198,2.783098,2.760366,1.277577,5.110307,0.7045693,0.3056836,0.99999927273,1.7632447273e-07,3.655198
188,20310492,1,ok,3.654703,2.778543,2.762234,1.27639,5.105559,0.7070606,0.3056244,0.99999927273,1.7630067273e-07,3.654703
189,20310493,1,ok,3.655107,2.781897,2.765592,1.277347,5.109386,0.7048995,0.3058558,0.99999927273,1.7561770909e-07,3.655107
190,20310494,1,ok,3.655184,2.788599,2.763677,1.277676,5.110703,0.7027397,0.3066983,0.99999927273,1.7634443636e-07,3.655184
191,20310495,1,ok,3.654658,2.783103,2.763889,1.276873,5.107491,0.7040203,0.3057741,0.99999927273,1.7592598182e-07,3.654658
